,filename,tot_seconds,netpos_seconds,netpos_prop
352,1339389,288,120,0.4166666666666667
353,39105906,355,195,0.5492957746478874
354,40503255,198,61,0.30808080808080807
355,4640044,192,116,0.6041666666666666
356,15512198,173,-46,-0.2658959537572254
357,3312454,270,-45,-0.16666666666666666
358,59497761,216,1,0.004629629629629629
359,51135964,124,27,0.21774193548387097
360,57013303,82,78,0.9512195121951219
361,3569624,529,264,0.499054820415879
362,29007859,501,145,0.2894211576846307
363,56104218,283,29,0.10247349823321555
364,6296810,438,158,0.3607305936073059
365,17784565,160,59,0.36875
366,5877008,465,-30,-0.06451612903225806
367,21617808,445,311,0.698876404494382
368,23983976,322,87,0.2701863354037267
369,44848023,485,75,0.15463917525773196
370,22096511,535,109,0.20373831775700935
371,17391781,251,125,0.49800796812749004
372,34305498,114,-48,-0.42105263157894735
373,28826131,537,-19,-0.035381750465549346
